epoch,train_loss,train_acc,val_loss,val_acc
1,1.101606127692432,0.12195121951219512,1.0634781122207642,0.5454545617103577
2,1.0843584828260469,0.3170731707317073,1.0409430265426636,0.6363636255264282
3,1.0480126607708815,0.5609756097560976,1.019576072692871,0.7272727489471436
4,1.029634401565645,0.6585365853658537,0.998464822769165,0.7272727489471436
5,1.0096888629401601,0.6829268292682927,0.9775844812393188,0.7272727489471436
6,0.9849746256339841,0.7317073170731707,0.9565303325653076,0.7272727489471436
7,0.9771894318301503,0.7073170731707317,0.9348249435424805,0.7272727489471436
8,0.930775622042214,0.7560975609756098,0.9122816324234009,0.7272727489471436
9,0.9281669942344107,0.7560975609756098,0.8890067934989929,0.8181818127632141
10,0.8857735453582392,0.8292682926829268,0.8645862936973572,0.8181818127632141
11,0.8578195833578343,0.8292682926829268,0.8384859561920166,0.9090909361839294
12,0.8446571245426084,0.8048780487804879,0.8105041980743408,0.9090909361839294
13,0.7988395967134615,0.926829268292683,0.7807657122612,0.9090909361839294
14,0.7734937609695807,0.8536585365853658,0.7486997842788696,0.9090909361839294
15,0.7441440355486986,0.9024390243902439,0.7152246832847595,0.9090909361839294
16,0.6880691022407718,0.926829268292683,0.6797022819519043,0.9090909361839294
17,0.6788737424990026,0.9024390243902439,0.6422467231750488,0.9090909361839294
18,0.6419559717178345,0.926829268292683,0.603843629360199,0.9090909361839294
19,0.598784038933312,0.9024390243902439,0.5640238523483276,0.9090909361839294
20,0.5471427862237139,0.926829268292683,0.5228314995765686,0.9090909361839294
21,0.5008791786868397,0.9512195121951219,0.48055917024612427,0.9090909361839294
22,0.45820314709733173,0.926829268292683,0.43876391649246216,0.9090909361839294
23,0.4089884416359227,0.9512195121951219,0.3973242938518524,0.9090909361839294
24,0.365734157038898,0.975609756097561,0.3561915159225464,0.9090909361839294
25,0.3379329806420861,0.9512195121951219,0.3165898621082306,0.9090909361839294
26,0.3405749281732047,0.9512195121951219,0.27954375743865967,0.9090909361839294
27,0.2605627469900178,0.975609756097561,0.24487973749637604,1.0
28,0.19917131415227565,1.0,0.21277746558189392,1.0
29,0.20935719696486868,0.9512195121951219,0.1835498809814453,1.0
30,0.19816042010377094,0.975609756097561,0.1578526496887207,1.0
31,0.1494271820638238,0.975609756097561,0.135630801320076,1.0
32,0.11698568884919329,1.0,0.11610317975282669,1.0
33,0.10691634620108255,1.0,0.09892921894788742,1.0
34,0.09194009551187841,1.0,0.08419576287269592,1.0
35,0.07897087232005305,1.0,0.07176896929740906,1.0
36,0.07177442525763338,1.0,0.06171390786767006,1.0
37,0.0621903831275498,1.0,0.05332221835851669,1.0
38,0.04309258083017861,1.0,0.04620886221528053,1.0
39,0.04627482883813905,1.0,0.04024890810251236,1.0
40,0.04441932897742202,1.0,0.03515119478106499,1.0
41,0.04316290940453366,1.0,0.03079083003103733,1.0
42,0.04147389626539335,1.0,0.027222417294979095,1.0
43,0.0470566435194597,0.975609756097561,0.024343883618712425,1.0
44,0.03142941688619009,1.0,0.021901311352849007,1.0
45,0.01844362478430678,1.0,0.01976252906024456,1.0
46,0.03347739313797253,1.0,0.017886744812130928,1.0
47,0.019051062215755626,1.0,0.016306960955262184,1.0
48,0.021788475080961135,1.0,0.014994221739470959,1.0
49,0.014244118887113362,1.0,0.013837005943059921,1.0
50,0.013920573563110538,1.0,0.012829839251935482,1.0
51,0.008550453908378032,1.0,0.012390212155878544,1.0
52,0.015298400778414272,1.0,0.011977393180131912,1.0
53,0.019861598658125576,1.0,0.011571465991437435,1.0
54,0.013745495572504474,1.0,0.011152519844472408,1.0
55,0.01535250271511514,1.0,0.010752257890999317,1.0
56,0.014410896999080007,1.0,0.010389914736151695,1.0
57,0.014960024352526156,1.0,0.010059557855129242,1.0
58,0.015304878229139054,1.0,0.00975643191486597,1.0
59,0.014204155699145503,1.0,0.009472937323153019,1.0
60,0.01689891508076249,1.0,0.009206199087202549,1.0
61,0.005378600278096955,1.0,0.008976294659078121,1.0
62,0.00973452268758925,1.0,0.008743669837713242,1.0
63,0.0077896833238078325,1.0,0.008509998209774494,1.0
64,0.0142678830363765,1.0,0.00827939622104168,1.0
65,0.03280191973033475,1.0,0.008044112473726273,1.0
66,0.01042722576729408,1.0,0.007826239801943302,1.0
67,0.009395115054780391,1.0,0.007611746899783611,1.0
68,0.014732501696704365,1.0,0.0073917624540627,1.0
69,0.007577987501352299,1.0,0.007190462667495012,1.0
70,0.017209563177169825,1.0,0.007000397425144911,1.0
71,0.014125847371249663,1.0,0.0068199788220226765,1.0
72,0.012857475806391093,1.0,0.006657690275460482,1.0
73,0.005985783004179233,1.0,0.006506855599582195,1.0
74,0.00813539635117461,1.0,0.006346167530864477,1.0
75,0.004598691139551924,1.0,0.006182449869811535,1.0
76,0.007841217808607148,1.0,0.0060282484628260136,1.0
77,0.015790018730047272,1.0,0.005869749002158642,1.0
78,0.006689595331142589,1.0,0.005730859935283661,1.0
79,0.011774756241498924,1.0,0.005603231955319643,1.0
80,0.011626631271366665,1.0,0.005488968919962645,1.0
81,0.009511669870556854,1.0,0.00536655867472291,1.0
82,0.013595817020026648,1.0,0.005233183968812227,1.0
83,0.008802483187670388,1.0,0.005089139565825462,1.0
84,0.00985971670143488,1.0,0.004956488031893969,1.0
85,0.004844158637996127,1.0,0.0048292046412825584,1.0
86,0.007867792303242334,1.0,0.0047009666450321674,1.0
87,0.0063939115043911265,1.0,0.00457070954144001,1.0
88,0.006446229373445598,1.0,0.0044519309885799885,1.0
89,0.007158135893050491,1.0,0.004338414873927832,1.0
90,0.0036966198964453324,1.0,0.004239268600940704,1.0
91,0.006557592417953945,1.0,0.004143859725445509,1.0
92,0.006142685894013905,1.0,0.004052199888974428,1.0
93,0.003142533307077318,1.0,0.00396567489951849,1.0
94,0.010540937862881437,1.0,0.003883444471284747,1.0
95,0.005277914239275382,1.0,0.003808668814599514,1.0
96,0.005332677994241438,1.0,0.0037358792033046484,1.0
97,0.008123535327840506,1.0,0.0036624453496187925,1.0
98,0.00518547443718445,1.0,0.0035937021020799875,1.0
99,0.003920547334795318,1.0,0.0035274378024041653,1.0
100,0.0029951701872050762,1.0,0.003462176537141204,1.0
101,0.011830494205308397,1.0,0.0034227201249450445,1.0
102,0.006032645168555219,1.0,0.0033817098010331392,1.0
103,0.0071074214576539105,1.0,0.003341897390782833,1.0
104,0.005712918176247579,1.0,0.003303301287814975,1.0
105,0.004502559960933357,1.0,0.0032660653814673424,1.0
106,0.006071981110769074,1.0,0.003231616457924247,1.0
107,0.003158175301306495,1.0,0.003200642066076398,1.0
108,0.0037413096884492693,1.0,0.003171096555888653,1.0
109,0.005032856448939661,1.0,0.003142532892525196,1.0
110,0.0033176914538915565,1.0,0.0031148933339864016,1.0
111,0.0062650889754522505,1.0,0.003086496377363801,1.0
112,0.004240991062166669,1.0,0.0030602028127759695,1.0
113,0.0033233538326784603,1.0,0.0030355334747582674,1.0
114,0.0050354965099292555,1.0,0.003008890664204955,1.0
115,0.0016721108809068072,1.0,0.0029825367964804173,1.0
116,0.006827250066236025,1.0,0.002955415053293109,1.0
117,0.00853687030740264,1.0,0.0029271484818309546,1.0
118,0.004402274084163875,1.0,0.0028974765446037054,1.0
119,0.006127732567398287,1.0,0.0028635410126298666,1.0
120,0.004048731234833234,1.0,0.0028314015362411737,1.0
121,0.0031227401071568816,1.0,0.0028014881536364555,1.0
122,0.007399805344459488,1.0,0.0027664026711136103,1.0
123,0.004390712381658576,1.0,0.002729107392951846,1.0
124,0.003039857940521182,1.0,0.002696024486795068,1.0
125,0.005595808008276835,1.0,0.0026627371553331614,1.0
126,0.003315525634850307,1.0,0.002629828406497836,1.0
127,0.008924570110649234,1.0,0.0025956311728805304,1.0
128,0.02077090531224158,1.0,0.0025546930264681578,1.0
129,0.0029596813284314986,1.0,0.002512143226340413,1.0
130,0.003326712357925206,1.0,0.002473599975928664,1.0
131,0.0017905109959495504,1.0,0.002439104253426194,1.0
132,0.0032587821152424666,1.0,0.002407340332865715,1.0
133,0.0045160972683622345,1.0,0.002377021126449108,1.0
134,0.003580299799512254,1.0,0.002348164329305291,1.0
135,0.0077317236218510605,1.0,0.0023195927496999502,1.0
136,0.03378727843150178,0.975609756097561,0.0022896258160471916,1.0
137,0.002846479032574812,1.0,0.0022633804474025965,1.0
138,0.011661114301759659,1.0,0.0022363681346178055,1.0
139,0.004793088633294512,1.0,0.0022108920384198427,1.0
140,0.008507827983987405,1.0,0.002186026657000184,1.0
141,0.0034010576924718007,1.0,0.0021632062271237373,1.0
142,0.0036261851399591784,1.0,0.0021419634576886892,1.0
143,0.0028124906168114847,1.0,0.002122090430930257,1.0
144,0.004745428010298893,1.0,0.0021022779401391745,1.0
145,0.0027717205173358687,1.0,0.0020825627725571394,1.0
146,0.005679119128461291,1.0,0.0020615493413060904,1.0
147,0.005373507183011076,1.0,0.002038035774603486,1.0
148,0.004477087828535132,1.0,0.002015108475461602,1.0
149,0.0037949903890853974,1.0,0.001993537647649646,1.0
150,0.004902855129685343,1.0,0.0019725384190678596,1.0
